id,premis dan hipotesis,label
0,ahli paleontologi thomas mors tim sedang misi temu fosil mamalia huni antartika periode beku hipoevitag thomas mors ahli paleontologi,1
1,ahli paleontologi thomas mors tim sedang misi temu fosil mamalia huni antartika periode beku hipoevitag thomas mors pimpin tim baik,2
2,ahli paleontologi thomas mors tim sedang misi temu fosil mamalia huni antartika periode beku hipoevitag thomas mors orang diri sedang misi temu fosil mamalia huni antartika periode beku,0
3,biaya perlu besar juta us nilai dolar hipoevitag biaya perlu nila dolar,1
4,neutral hipoevitag neutral,2
5,biaya perlu besar juta us nilai dolar hipoevitag biaya perlu juta us,0
6,kalau pandang panorama laut sunset goa langse destinasi wisata jogja gratis pas tuju hipoevitag panorama laut temu goa langse,1
7,kalau pandang panorama laut sunset goa langse destinasi wisata jogja gratis pas tuju hipoevitag goa langse dekat laut,2
8,kalau pandang panorama laut sunset goa langse destinasi wisata jogja gratis pas tuju hipoevitag tidak sunset goa langse,0
9,jakarta cnn indonesia keluarga mendiang prince tuduh layan musik streaming tidal masuk karya milik sang nyanyi legendaris tanpa izin hipoevitag timbal tuduh curi karya orang,1
10,jakarta cnn indonesia keluarga mendiang prince tuduh layan musik streaming tidal masuk karya milik sang nyanyi legendaris tanpa izin hipoevitag timbal beri klarifikasi atas tuduh sebut,2
11,jakarta cnn indonesia keluarga mendiang prince tuduh layan musik streaming tidal masuk karya milik sang nyanyi legendaris tanpa izin hipoevitag keluarga mendiang prince beri izin timbal lagu milik prince,0
12,kpk pernah panggil yasonna banyak tiga kali periksa bagai saksi sangka e ktp irman sugiharto yasonna tak pernah penuh panggil hipoevitag yasonna tidak pernah penuh panggil,1
13,kpk pernah panggil yasonna banyak tiga kali periksa bagai saksi sangka e ktp irman sugiharto yasonna tak pernah penuh panggil hipoevitag irman sugharto korupsi e ktp,2
14,kpk pernah panggil yasonna banyak tiga kali periksa bagai saksi sangka e ktp irman sugiharto yasonna tak pernah penuh panggil hipoevitag irman sugiharto bukan sangka e ktp,0
15,herrera nampaknya tidak tarik tawar barcelona menang lebih banyak gelar sama setan merah sangat terima kasih manchester united datang spanyol tiga tahun lalu ungkap herrera sky sports news hipoevitag herrera datang manchester united spanyol tiga tahun lalu,1
16,herrera nampaknya tidak tarik tawar barcelona menang lebih banyak gelar sama setan merah sangat terima kasih manchester united datang spanyol tiga tahun lalu ungkap herrera sky sports news hipoevitag herrera asal spanyol,2
17,herrera nampaknya tidak tarik tawar barcelona menang lebih banyak gelar sama setan merah sangat terima kasih manchester united datang spanyol tiga tahun lalu ungkap herrera sky sports news hipoevitag herrera tarik tawar barcelona,0
18,tahun lalu song joong ki rupa raih harga sama park bo gum hipoevitag park bo gum pernah menang harga sama song joong ki,1
